investor_id,name,pan,email,mobile,state,city,dob,kyc_status,risk_profile,registration_date
INV00079,Investor 79,ABCDE0079F,investor79@email.com,9343426850,Karnataka,City_29,1996-01-01,KYC_PENDING,Aggressive,2022-02-21
INV00080,Investor 80,ABCDE0080F,investor80@email.com,9388312096,Tamil Nadu,City_30,1999-02-28,KYC_VERIFIED,Moderate,2018-03-18
INV00081,Investor 81,ABCDE0081F,investor81@email.com,9486313570,Karnataka,City_31,1968-08-05,KYC_PENDING,Aggressive,2019-03-20
INV00082,Investor 82,ABCDE0082F,investor82@email.com,9946100098,Delhi,City_32,1981-03-06,KYC_VERIFIED,Aggressive,2018-08-01
INV00083,Investor 83,ABCDE0083F,investor83@email.com,9376110003,Rajasthan,City_33,1982-07-05,KYC_VERIFIED,Moderate,2018-05-20
INV00084,Investor 84,ABCDE0084F,investor84@email.com,9452610815,Maharashtra,City_34,1990-06-26,KYC_VERIFIED,Aggressive,2020-01-10
INV00085,Investor 85,ABCDE0085F,investor85@email.com,9650805219,UP,City_35,1973-10-16,KYC_VERIFIED,Conservative,2021-04-22
INV00086,Investor 86,ABCDE0086F,investor86@email.com,9132558320,Tamil Nadu,City_36,1961-10-09,KYC_PENDING,Conservative,2020-10-31
INV00087,Investor 87,ABCDE0087F,investor87@email.com,9841836827,Karnataka,City_37,1996-09-23,KYC_VERIFIED,Conservative,2022-02-11
INV00088,Investor 88,ABCDE0088F,investor88@email.com,9547848539,Gujarat,City_38,1986-07-23,KYC_VERIFIED,Moderate,2019-07-21
INV00089,Investor 89,ABCDE0089F,investor89@email.com,9427905549,Gujarat,City_39,1968-02-15,KYC_VERIFIED,Aggressive,2018-12-14
INV00090,Investor 90,ABCDE0090F,investor90@email.com,9611544744,West Bengal,City_40,1998-04-14,KYC_VERIFIED,Aggressive,2019-03-21
INV00091,Investor 91,ABCDE0091F,investor91@email.com,9600401024,Karnataka,City_41,1961-11-23,KYC_VERIFIED,Aggressive,2018-06-18
INV00092,Investor 92,ABCDE0092F,investor92@email.com,9427278621,UP,City_42,1980-01-30,KYC_PENDING,Conservative,2022-04-04
INV00093,Investor 93,ABCDE0093F,investor93@email.com,9594991307,Gujarat,City_43,1976-05-24,KYC_PENDING,Aggressive,2022-05-11
INV00094,Investor 94,ABCDE0094F,investor94@email.com,9901506362,Rajasthan,City_44,1995-07-13,KYC_PENDING,Moderate,2020-07-30
INV00095,Investor 95,ABCDE0095F,investor95@email.com,9333309188,Rajasthan,City_45,1967-05-22,KYC_VERIFIED,Conservative,2022-01-17
INV00096,Investor 96,ABCDE0096F,investor96@email.com,9593809993,Rajasthan,City_46,1963-05-22,KYC_VERIFIED,Moderate,2020-10-08
INV00097,Investor 97,ABCDE0097F,investor97@email.com,9280300802,UP,City_47,1960-09-02,KYC_PENDING,Aggressive,2021-10-10
INV00098,Investor 98,ABCDE0098F,investor98@email.com,9789334791,Maharashtra,City_48,1971-08-25,KYC_VERIFIED,Aggressive,2020-12-10
INV00099,Investor 99,ABCDE0099F,investor99@email.com,9951404282,Rajasthan,City_49,1989-10-08,KYC_VERIFIED,Conservative,2018-08-01
INV00100,Investor 100,ABCDE0100F,investor100@email.com,9280786266,Gujarat,City_0,1980-01-27,KYC_VERIFIED,Aggressive,2022-01-05
INV00101,Investor 101,ABCDE0101F,investor101@email.com,9948738738,Karnataka,City_1,1995-04-11,KYC_VERIFIED,Aggressive,2020-05-04
INV00102,Investor 102,ABCDE0102F,investor102@email.com,9357471901,Gujarat,City_2,1975-09-20,KYC_VERIFIED,Conservative,2022-09-23
INV00103,Investor 103,ABCDE0103F,investor103@email.com,9993474682,Tamil Nadu,City_3,1988-01-05,KYC_VERIFIED,Conservative,2018-01-06
INV00104,Investor 104,ABCDE0104F,investor104@email.com,9877355984,Tamil Nadu,City_4,1964-02-05,KYC_VERIFIED,Conservative,2021-03-30
INV00105,Investor 105,ABCDE0105F,investor105@email.com,9728661724,West Bengal,City_5,1982-07-20,KYC_VERIFIED,Aggressive,2019-09-24
INV00106,Investor 106,ABCDE0106F,investor106@email.com,9663933601,Karnataka,City_6,1996-05-20,KYC_VERIFIED,Conservative,2020-04-09
INV00107,Investor 107,ABCDE0107F,investor107@email.com,9840335432,Delhi,City_7,1981-05-20,KYC_VERIFIED,Aggressive,2018-10-21
INV00108,Investor 108,ABCDE0108F,investor108@email.com,9714454823,Delhi,City_8,1999-04-13,KYC_VERIFIED,Conservative,2019-06-03
INV00109,Investor 109,ABCDE0109F,investor109@email.com,9277192228,Karnataka,City_9,1980-05-31,KYC_VERIFIED,Moderate,2019-06-02
INV00110,Investor 110,ABCDE0110F,investor110@email.com,9780275735,Rajasthan,City_10,1976-08-21,KYC_VERIFIED,Conservative,2022-02-20
INV00111,Investor 111,ABCDE0111F,investor111@email.com,9953920492,UP,City_11,1978-07-30,KYC_VERIFIED,Moderate,2018-03-13
INV00112,Investor 112,ABCDE0112F,investor112@email.com,9260600681,Maharashtra,City_12,1977-12-27,KYC_PENDING,Aggressive,2020-02-28
INV00113,Investor 113,ABCDE0113F,investor113@email.com,9317690830,Karnataka,City_13,1988-03-07,KYC_VERIFIED,Aggressive,2022-12-05
INV00114,Investor 114,ABCDE0114F,investor114@email.com,9508849442,Gujarat,City_14,1984-11-16,KYC_PENDING,Aggressive,2022-11-03
INV00115,Investor 115,ABCDE0115F,investor115@email.com,9203794173,Gujarat,City_15,1980-03-13,KYC_VERIFIED,Aggressive,2020-06-10
INV00116,Investor 116,ABCDE0116F,investor116@email.com,9925501727,Maharashtra,City_16,1978-06-28,KYC_PENDING,Conservative,2021-03-27
INV00117,Investor 117,ABCDE0117F,investor117@email.com,9651814447,Rajasthan,City_17,1997-09-05,KYC_VERIFIED,Aggressive,2018-01-01
INV00118,Investor 118,ABCDE0118F,investor118@email.com,9121321506,Maharashtra,City_18,1990-03-15,KYC_VERIFIED,Conservative,2019-02-17
INV00119,Investor 119,ABCDE0119F,investor119@email.com,9305384821,Gujarat,City_19,1961-10-05,KYC_PENDING,Conservative,2018-12-31
INV00120,Investor 120,ABCDE0120F,investor120@email.com,9616120140,West Bengal,City_20,1976-01-14,KYC_VERIFIED,Conservative,2021-12-27
INV00121,Investor 121,ABCDE0121F,investor121@email.com,9795493350,Karnataka,City_21,1985-02-01,KYC_PENDING,Aggressive,2019-03-09
INV00122,Investor 122,ABCDE0122F,investor122@email.com,9752754881,Maharashtra,City_22,1999-08-06,KYC_VERIFIED,Aggressive,2019-12-09
INV00123,Investor 123,ABCDE0123F,investor123@email.com,9922440672,Maharashtra,City_23,1973-09-29,KYC_VERIFIED,Moderate,2018-12-14
INV00124,Investor 124,ABCDE0124F,investor124@email.com,9706106104,West Bengal,City_24,1978-05-09,KYC_PENDING,Moderate,2018-07-27
INV00125,Investor 125,ABCDE0125F,investor125@email.com,9624926947,West Bengal,City_25,1985-07-16,KYC_VERIFIED,Aggressive,2021-01-13
INV00126,Investor 126,ABCDE0126F,investor126@email.com,9474618391,Gujarat,City_26,1985-05-30,KYC_VERIFIED,Moderate,2021-05-14
INV00127,Investor 127,ABCDE0127F,investor127@email.com,9109788042,Gujarat,City_27,1988-09-27,KYC_VERIFIED,Moderate,2020-11-29
INV00128,Investor 128,ABCDE0128F,investor128@email.com,9339768808,Karnataka,City_28,1977-03-24,KYC_PENDING,Moderate,2022-09-08
INV00129,Investor 129,ABCDE0129F,investor129@email.com,9152890405,Delhi,City_29,1985-08-20,KYC_VERIFIED,Moderate,2022-04-28
INV00130,Investor 130,ABCDE0130F,investor130@email.com,9725420948,Maharashtra,City_30,1990-11-18,KYC_VERIFIED,Conservative,2021-09-19
INV00131,Investor 131,ABCDE0131F,investor131@email.com,9386877773,Karnataka,City_31,1967-02-01,KYC_VERIFIED,Aggressive,2022-12-05
INV00132,Investor 132,ABCDE0132F,investor132@email.com,9837808023,Tamil Nadu,City_32,1999-09-29,KYC_PENDING,Aggressive,2019-06-17
INV00133,Investor 133,ABCDE0133F,investor133@email.com,9936455435,UP,City_33,1968-05-04,KYC_VERIFIED,Moderate,2020-05-05
INV00134,Investor 134,ABCDE0134F,investor134@email.com,9174429998,Karnataka,City_34,1974-06-03,KYC_PENDING,Moderate,2018-03-13
INV00135,Investor 135,ABCDE0135F,investor135@email.com,9145198631,Maharashtra,City_35,1967-03-18,KYC_PENDING,Moderate,2021-09-05
INV00136,Investor 136,ABCDE0136F,investor136@email.com,9845323907,Delhi,City_36,1993-12-19,KYC_VERIFIED,Aggressive,2018-02-18
INV00137,Investor 137,ABCDE0137F,investor137@email.com,9817886659,West Bengal,City_37,1977-03-03,KYC_VERIFIED,Moderate,2020-09-11
INV00138,Investor 138,ABCDE0138F,investor138@email.com,9533918099,UP,City_38,1981-12-06,KYC_VERIFIED,Conservative,2021-03-22
INV00139,Investor 139,ABCDE0139F,investor139@email.com,9224052555,UP,City_39,1995-07-13,KYC_VERIFIED,Conservative,2019-08-16
INV00140,Investor 140,ABCDE0140F,investor140@email.com,9364712869,Gujarat,City_40,1990-06-11,KYC_PENDING,Conservative,2018-03-10
INV00141,Investor 141,ABCDE0141F,investor141@email.com,9527648799,Tamil Nadu,City_41,1991-10-24,KYC_PENDING,Moderate,2021-11-28
INV00142,Investor 142,ABCDE0142F,investor142@email.com,9635662820,Tamil Nadu,City_42,1971-04-12,KYC_VERIFIED,Conservative,2020-09-07
INV00143,Investor 143,ABCDE0143F,investor143@email.com,9901257862,Rajasthan,City_43,1991-12-01,KYC_VERIFIED,Aggressive,2022-12-12
INV00144,Investor 144,ABCDE0144F,investor144@email.com,9205745911,Gujarat,City_44,1990-05-30,KYC_VERIFIED,Aggressive,2022-09-20
INV00145,Investor 145,ABCDE0145F,investor145@email.com,9656568495,Tamil Nadu,City_45,1988-06-10,KYC_VERIFIED,Moderate,2021-01-13
INV00146,Investor 146,ABCDE0146F,investor146@email.com,9997442056,West Bengal,City_46,1964-07-09,KYC_VERIFIED,Moderate,2018-09-28
INV00147,Investor 147,ABCDE0147F,investor147@email.com,9417249919,Delhi,City_47,1977-11-22,KYC_PENDING,Aggressive,2020-05-23
INV00148,Investor 148,ABCDE0148F,investor148@email.com,9391337785,West Bengal,City_48,1987-06-27,KYC_PENDING,Conservative,2019-12-14
INV00149,Investor 149,ABCDE0149F,investor149@email.com,9818262235,Karnataka,City_49,1965-02-01,KYC_VERIFIED,Conservative,2019-05-17
INV00150,Investor 150,ABCDE0150F,investor150@email.com,9412425934,UP,City_0,1964-07-24,KYC_PENDING,Conservative,2022-03-03
INV00151,Investor 151,ABCDE0151F,investor151@email.com,9454065358,West Bengal,City_1,1985-08-23,KYC_VERIFIED,Moderate,2020-02-21
INV00152,Investor 152,ABCDE0152F,investor152@email.com,9365071053,Maharashtra,City_2,1968-01-25,KYC_PENDING,Conservative,2022-05-05
INV00153,Investor 153,ABCDE0153F,investor153@email.com,9965766951,Delhi,City_3,1992-08-29,KYC_VERIFIED,Conservative,2022-09-12
INV00154,Investor 154,ABCDE0154F,investor154@email.com,9738798850,Delhi,City_4,1984-11-14,KYC_VERIFIED,Moderate,2020-03-24
INV00155,Investor 155,ABCDE0155F,investor155@email.com,9496936181,Tamil Nadu,City_5,1979-01-30,KYC_PENDING,Moderate,2020-10-27
INV00156,Investor 156,ABCDE0156F,investor156@email.com,9365960946,Maharashtra,City_6,1976-02-14,KYC_VERIFIED,Moderate,2022-01-25
INV00157,Investor 157,ABCDE0157F,investor157@email.com,9430905200,Maharashtra,City_7,1993-01-22,KYC_VERIFIED,Aggressive,2019-07-15
INV00158,Investor 158,ABCDE0158F,investor158@email.com,9304147477,Rajasthan,City_8,1991-10-30,KYC_VERIFIED,Aggressive,2019-06-04
INV00159,Investor 159,ABCDE0159F,investor159@email.com,9374122086,Rajasthan,City_9,1996-05-06,KYC_PENDING,Conservative,2018-11-28
INV00160,Investor 160,ABCDE0160F,investor160@email.com,9776828942,Rajasthan,City_10,1972-04-17,KYC_VERIFIED,Moderate,2022-03-21
INV00161,Investor 161,ABCDE0161F,investor161@email.com,9399659704,West Bengal,City_11,1992-12-24,KYC_VERIFIED,Conservative,2021-03-22
INV00162,Investor 162,ABCDE0162F,investor162@email.com,9591832299,Karnataka,City_12,1985-04-04,KYC_PENDING,Aggressive,2021-03-20
INV00163,Investor 163,ABCDE0163F,investor163@email.com,9368044818,Karnataka,City_13,1970-03-10,KYC_PENDING,Moderate,2020-06-18
INV00164,Investor 164,ABCDE0164F,investor164@email.com,9801461761,Tamil Nadu,City_14,1999-03-19,KYC_VERIFIED,Moderate,2018-12-04
INV00165,Investor 165,ABCDE0165F,investor165@email.com,9375808758,Maharashtra,City_15,1992-09-26,KYC_VERIFIED,Aggressive,2018-07-15
INV00166,Investor 166,ABCDE0166F,investor166@email.com,9826593174,Rajasthan,City_16,1987-06-13,KYC_VERIFIED,Conservative,2019-09-15
INV00167,Investor 167,ABCDE0167F,investor167@email.com,9709820022,Karnataka,City_17,1966-06-05,KYC_PENDING,Moderate,2018-06-03
INV00168,Investor 168,ABCDE0168F,investor168@email.com,9649625254,Rajasthan,City_18,1977-06-21,KYC_VERIFIED,Conservative,2022-09-08
INV00169,Investor 169,ABCDE0169F,investor169@email.com,9260457349,Gujarat,City_19,1997-05-15,KYC_VERIFIED,Aggressive,2018-04-19
INV00170,Investor 170,ABCDE0170F,investor170@email.com,9660518841,Karnataka,City_20,1988-06-14,KYC_VERIFIED,Aggressive,2021-10-05
INV00171,Investor 171,ABCDE0171F,investor171@email.com,9793843782,Delhi,City_21,1980-12-21,KYC_VERIFIED,Moderate,2021-02-18
INV00172,Investor 172,ABCDE0172F,investor172@email.com,9846231228,Delhi,City_22,1989-11-16,KYC_PENDING,Conservative,2021-06-02
INV00173,Investor 173,ABCDE0173F,investor173@email.com,9444805772,Gujarat,City_23,1963-10-05,KYC_VERIFIED,Aggressive,2020-03-14
INV00174,Investor 174,ABCDE0174F,investor174@email.com,9739111525,Gujarat,City_24,1984-06-29,KYC_VERIFIED,Moderate,2018-09-19
INV00175,Investor 175,ABCDE0175F,investor175@email.com,9766739954,UP,City_25,1986-05-10,KYC_VERIFIED,Aggressive,2022-04-20
INV00176,Investor 176,ABCDE0176F,investor176@email.com,9117881164,UP,City_26,1978-03-02,KYC_VERIFIED,Aggressive,2020-10-05
INV00177,Investor 177,ABCDE0177F,investor177@email.com,9903336635,Maharashtra,City_27,1996-09-27,KYC_PENDING,Moderate,2022-10-23
INV00178,Investor 178,ABCDE0178F,investor178@email.com,9245339546,West Bengal,City_28,1975-06-01,KYC_VERIFIED,Aggressive,2022-03-19
INV00179,Investor 179,ABCDE0179F,investor179@email.com,9238293246,Maharashtra,City_29,1968-10-27,KYC_PENDING,Aggressive,2022-02-17
INV00180,Investor 180,ABCDE0180F,investor180@email.com,9598361846,Karnataka,City_30,1994-09-08,KYC_VERIFIED,Moderate,2022-03-13
INV00181,Investor 181,ABCDE0181F,investor181@email.com,9327441564,Gujarat,City_31,1988-09-03,KYC_PENDING,Moderate,2020-11-23
INV00182,Investor 182,ABCDE0182F,investor182@email.com,9833458943,Gujarat,City_32,1968-07-10,KYC_VERIFIED,Moderate,2021-02-18
INV00183,Investor 183,ABCDE0183F,investor183@email.com,9750377191,UP,City_33,1973-04-22,KYC_PENDING,Aggressive,2018-12-26
INV00184,Investor 184,ABCDE0184F,investor184@email.com,9876750946,UP,City_34,1992-12-09,KYC_VERIFIED,Aggressive,2018-07-07
INV00185,Investor 185,ABCDE0185F,investor185@email.com,9435479740,West Bengal,City_35,1969-07-06,KYC_VERIFIED,Aggressive,2019-08-02
INV00186,Investor 186,ABCDE0186F,investor186@email.com,9700599294,Delhi,City_36,1997-02-03,KYC_VERIFIED,Moderate,2018-06-06
INV00187,Investor 187,ABCDE0187F,investor187@email.com,9613165120,Rajasthan,City_37,1977-09-14,KYC_VERIFIED,Moderate,2020-04-17
INV00188,Investor 188,ABCDE0188F,investor188@email.com,9614415762,Gujarat,City_38,1983-12-27,KYC_VERIFIED,Aggressive,2020-02-06
INV00189,Investor 189,ABCDE0189F,investor189@email.com,9517786477,UP,City_39,1979-10-24,KYC_PENDING,Aggressive,2022-01-08
INV00190,Investor 190,ABCDE0190F,investor190@email.com,9897694905,Delhi,City_40,1977-09-27,KYC_VERIFIED,Conservative,2019-12-24
INV00191,Investor 191,ABCDE0191F,investor191@email.com,9254415521,Maharashtra,City_41,1983-11-04,KYC_PENDING,Aggressive,2022-06-25
