investor_id,name,pan,state,city,city_tier,gender,dob,kyc_status,risk_profile,registration_date
INV00034,Investor 34,ABCDE0034F,Punjab,City_39,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00035,Investor 35,ABCDE0035F,Punjab,City_74,B30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00036,Investor 36,ABCDE0036F,Punjab,City_89,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00037,Investor 37,ABCDE0037F,Maharashtra,City_42,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00038,Investor 38,ABCDE0038F,Maharashtra,City_80,T30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00039,Investor 39,ABCDE0039F,Delhi,City_18,B30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00040,Investor 40,ABCDE0040F,West Bengal,City_57,B30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00041,Investor 41,ABCDE0041F,Kerala,City_51,B30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00042,Investor 42,ABCDE0042F,Tamil Nadu,City_57,B30,Male,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00043,Investor 43,ABCDE0043F,Maharashtra,City_26,T30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00044,Investor 44,ABCDE0044F,Rajasthan,City_28,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00045,Investor 45,ABCDE0045F,UP,City_20,B30,Male,1966-07-14,KYC_VERIFIED,Aggressive,2021-01-01
INV00046,Investor 46,ABCDE0046F,West Bengal,City_2,B30,Male,1966-07-14,KYC_VERIFIED,Aggressive,2021-01-01
INV00047,Investor 47,ABCDE0047F,West Bengal,City_42,T30,Female,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00048,Investor 48,ABCDE0048F,Delhi,City_30,B30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00049,Investor 49,ABCDE0049F,Karnataka,City_73,B30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00050,Investor 50,ABCDE0050F,Rajasthan,City_28,B30,Female,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00051,Investor 51,ABCDE0051F,Tamil Nadu,City_37,T30,Other,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00052,Investor 52,ABCDE0052F,Kerala,City_91,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00053,Investor 53,ABCDE0053F,West Bengal,City_74,T30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00054,Investor 54,ABCDE0054F,Tamil Nadu,City_96,B30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00055,Investor 55,ABCDE0055F,Tamil Nadu,City_25,B30,Other,1976-07-11,KYC_VERIFIED,Aggressive,2021-01-01
INV00056,Investor 56,ABCDE0056F,Punjab,City_9,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00057,Investor 57,ABCDE0057F,Punjab,City_19,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00058,Investor 58,ABCDE0058F,Punjab,City_1,B30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00059,Investor 59,ABCDE0059F,UP,City_93,T30,Other,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00060,Investor 60,ABCDE0060F,Maharashtra,City_93,T30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00061,Investor 61,ABCDE0061F,Rajasthan,City_93,T30,Male,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00062,Investor 62,ABCDE0062F,Punjab,City_67,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00063,Investor 63,ABCDE0063F,Karnataka,City_31,T30,Male,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00064,Investor 64,ABCDE0064F,West Bengal,City_60,T30,Male,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00065,Investor 65,ABCDE0065F,Punjab,City_97,B30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00066,Investor 66,ABCDE0066F,Karnataka,City_87,B30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00067,Investor 67,ABCDE0067F,Tamil Nadu,City_54,T30,Other,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00068,Investor 68,ABCDE0068F,Maharashtra,City_76,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00069,Investor 69,ABCDE0069F,Kerala,City_81,B30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00070,Investor 70,ABCDE0070F,Tamil Nadu,City_96,T30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00071,Investor 71,ABCDE0071F,Maharashtra,City_75,T30,Other,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00072,Investor 72,ABCDE0072F,Rajasthan,City_91,T30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00073,Investor 73,ABCDE0073F,Delhi,City_13,B30,Female,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00074,Investor 74,ABCDE0074F,Karnataka,City_32,B30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00075,Investor 75,ABCDE0075F,Delhi,City_3,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00076,Investor 76,ABCDE0076F,Punjab,City_100,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00077,Investor 77,ABCDE0077F,Rajasthan,City_63,B30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00078,Investor 78,ABCDE0078F,UP,City_46,B30,Other,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00079,Investor 79,ABCDE0079F,UP,City_58,T30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00080,Investor 80,ABCDE0080F,Tamil Nadu,City_43,T30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00081,Investor 81,ABCDE0081F,UP,City_16,T30,Other,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00082,Investor 82,ABCDE0082F,Delhi,City_98,B30,Other,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00083,Investor 83,ABCDE0083F,Kerala,City_4,T30,Male,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00084,Investor 84,ABCDE0084F,Kerala,City_6,B30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00085,Investor 85,ABCDE0085F,Rajasthan,City_83,B30,Other,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00086,Investor 86,ABCDE0086F,Tamil Nadu,City_79,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00087,Investor 87,ABCDE0087F,Gujarat,City_36,B30,Male,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00088,Investor 88,ABCDE0088F,Tamil Nadu,City_82,B30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00089,Investor 89,ABCDE0089F,West Bengal,City_14,B30,Male,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00090,Investor 90,ABCDE0090F,Karnataka,City_72,B30,Female,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00091,Investor 91,ABCDE0091F,Punjab,City_94,B30,Male,1966-07-14,KYC_VERIFIED,Conservative,2021-01-01
INV00092,Investor 92,ABCDE0092F,UP,City_81,B30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00093,Investor 93,ABCDE0093F,Kerala,City_20,T30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00094,Investor 94,ABCDE0094F,Punjab,City_66,T30,Female,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00095,Investor 95,ABCDE0095F,Punjab,City_85,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00096,Investor 96,ABCDE0096F,Punjab,City_4,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00097,Investor 97,ABCDE0097F,Maharashtra,City_4,T30,Other,1976-07-11,KYC_VERIFIED,Aggressive,2021-01-01
INV00098,Investor 98,ABCDE0098F,Gujarat,City_48,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00099,Investor 99,ABCDE0099F,Karnataka,City_26,B30,Female,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00100,Investor 100,ABCDE0100F,West Bengal,City_85,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00101,Investor 101,ABCDE0101F,Punjab,City_66,B30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00102,Investor 102,ABCDE0102F,Karnataka,City_56,B30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00103,Investor 103,ABCDE0103F,Rajasthan,City_41,B30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00104,Investor 104,ABCDE0104F,Karnataka,City_24,B30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00105,Investor 105,ABCDE0105F,Gujarat,City_37,T30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00106,Investor 106,ABCDE0106F,Delhi,City_31,T30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00107,Investor 107,ABCDE0107F,Delhi,City_75,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00108,Investor 108,ABCDE0108F,Tamil Nadu,City_67,B30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00109,Investor 109,ABCDE0109F,Maharashtra,City_86,B30,Female,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00110,Investor 110,ABCDE0110F,Punjab,City_62,T30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00111,Investor 111,ABCDE0111F,Gujarat,City_10,T30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00112,Investor 112,ABCDE0112F,West Bengal,City_89,B30,Male,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00113,Investor 113,ABCDE0113F,UP,City_72,B30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00114,Investor 114,ABCDE0114F,Delhi,City_85,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00115,Investor 115,ABCDE0115F,Tamil Nadu,City_53,B30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00116,Investor 116,ABCDE0116F,Gujarat,City_19,B30,Other,1976-07-11,KYC_VERIFIED,Moderate,2021-01-01
INV00117,Investor 117,ABCDE0117F,Karnataka,City_82,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00118,Investor 118,ABCDE0118F,Punjab,City_92,T30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00119,Investor 119,ABCDE0119F,Rajasthan,City_83,T30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00120,Investor 120,ABCDE0120F,Maharashtra,City_45,T30,Male,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00121,Investor 121,ABCDE0121F,West Bengal,City_17,B30,Other,1976-07-11,KYC_VERIFIED,Moderate,2021-01-01
INV00122,Investor 122,ABCDE0122F,UP,City_9,B30,Female,1966-07-14,KYC_VERIFIED,Aggressive,2021-01-01
INV00123,Investor 123,ABCDE0123F,Karnataka,City_96,B30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00124,Investor 124,ABCDE0124F,Karnataka,City_21,B30,Other,1966-07-14,KYC_VERIFIED,Conservative,2021-01-01
INV00125,Investor 125,ABCDE0125F,Delhi,City_37,T30,Female,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00126,Investor 126,ABCDE0126F,Karnataka,City_85,T30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00127,Investor 127,ABCDE0127F,Maharashtra,City_60,B30,Male,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00128,Investor 128,ABCDE0128F,Tamil Nadu,City_10,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00129,Investor 129,ABCDE0129F,Rajasthan,City_36,B30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00130,Investor 130,ABCDE0130F,Gujarat,City_70,T30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00131,Investor 131,ABCDE0131F,West Bengal,City_42,B30,Female,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00132,Investor 132,ABCDE0132F,West Bengal,City_62,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00133,Investor 133,ABCDE0133F,Gujarat,City_100,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00134,Investor 134,ABCDE0134F,Kerala,City_42,T30,Male,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00135,Investor 135,ABCDE0135F,West Bengal,City_88,T30,Male,1966-07-14,KYC_VERIFIED,Aggressive,2021-01-01
INV00136,Investor 136,ABCDE0136F,Punjab,City_97,B30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00137,Investor 137,ABCDE0137F,Rajasthan,City_100,B30,Other,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00138,Investor 138,ABCDE0138F,Tamil Nadu,City_24,T30,Other,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00139,Investor 139,ABCDE0139F,Karnataka,City_25,T30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00140,Investor 140,ABCDE0140F,Rajasthan,City_83,T30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00141,Investor 141,ABCDE0141F,UP,City_56,B30,Male,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00142,Investor 142,ABCDE0142F,West Bengal,City_4,B30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00143,Investor 143,ABCDE0143F,Delhi,City_51,T30,Female,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00144,Investor 144,ABCDE0144F,Karnataka,City_7,B30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00145,Investor 145,ABCDE0145F,Punjab,City_71,B30,Male,1966-07-14,KYC_VERIFIED,Conservative,2021-01-01
INV00146,Investor 146,ABCDE0146F,Tamil Nadu,City_32,B30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00147,Investor 147,ABCDE0147F,West Bengal,City_12,T30,Male,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00148,Investor 148,ABCDE0148F,Gujarat,City_91,B30,Male,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00149,Investor 149,ABCDE0149F,Karnataka,City_79,T30,Female,1976-07-11,KYC_VERIFIED,Aggressive,2021-01-01
INV00150,Investor 150,ABCDE0150F,Gujarat,City_42,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00151,Investor 151,ABCDE0151F,Maharashtra,City_85,T30,Male,1976-07-11,KYC_VERIFIED,Moderate,2021-01-01
INV00152,Investor 152,ABCDE0152F,West Bengal,City_80,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00153,Investor 153,ABCDE0153F,Maharashtra,City_35,T30,Male,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00154,Investor 154,ABCDE0154F,Delhi,City_24,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00155,Investor 155,ABCDE0155F,Punjab,City_99,B30,Male,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00156,Investor 156,ABCDE0156F,West Bengal,City_26,T30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00157,Investor 157,ABCDE0157F,Gujarat,City_23,B30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00158,Investor 158,ABCDE0158F,UP,City_7,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00159,Investor 159,ABCDE0159F,UP,City_79,B30,Female,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00160,Investor 160,ABCDE0160F,Maharashtra,City_49,B30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00161,Investor 161,ABCDE0161F,Kerala,City_38,T30,Female,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00162,Investor 162,ABCDE0162F,Rajasthan,City_87,T30,Female,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00163,Investor 163,ABCDE0163F,Rajasthan,City_93,B30,Female,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00164,Investor 164,ABCDE0164F,Karnataka,City_64,T30,Female,1976-07-11,KYC_VERIFIED,Aggressive,2021-01-01
INV00165,Investor 165,ABCDE0165F,Punjab,City_14,T30,Male,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00166,Investor 166,ABCDE0166F,Punjab,City_51,T30,Female,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00167,Investor 167,ABCDE0167F,Maharashtra,City_25,T30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00168,Investor 168,ABCDE0168F,UP,City_64,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00169,Investor 169,ABCDE0169F,Punjab,City_16,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00170,Investor 170,ABCDE0170F,Karnataka,City_59,B30,Other,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00171,Investor 171,ABCDE0171F,Maharashtra,City_89,B30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00172,Investor 172,ABCDE0172F,Rajasthan,City_5,T30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00173,Investor 173,ABCDE0173F,Delhi,City_22,T30,Male,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00174,Investor 174,ABCDE0174F,Punjab,City_10,B30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00175,Investor 175,ABCDE0175F,Rajasthan,City_70,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00176,Investor 176,ABCDE0176F,West Bengal,City_30,B30,Other,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00177,Investor 177,ABCDE0177F,Kerala,City_2,B30,Male,2006-07-04,KYC_VERIFIED,Moderate,2021-01-01
INV00178,Investor 178,ABCDE0178F,Rajasthan,City_59,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00179,Investor 179,ABCDE0179F,Gujarat,City_26,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00180,Investor 180,ABCDE0180F,Karnataka,City_75,T30,Female,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00181,Investor 181,ABCDE0181F,UP,City_12,T30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00182,Investor 182,ABCDE0182F,Delhi,City_23,T30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00183,Investor 183,ABCDE0183F,Gujarat,City_63,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00184,Investor 184,ABCDE0184F,Maharashtra,City_21,B30,Female,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00185,Investor 185,ABCDE0185F,Delhi,City_18,T30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00186,Investor 186,ABCDE0186F,Gujarat,City_83,B30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00187,Investor 187,ABCDE0187F,West Bengal,City_42,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00188,Investor 188,ABCDE0188F,UP,City_78,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00189,Investor 189,ABCDE0189F,Kerala,City_95,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00190,Investor 190,ABCDE0190F,Gujarat,City_7,T30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00191,Investor 191,ABCDE0191F,Tamil Nadu,City_35,B30,Female,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00192,Investor 192,ABCDE0192F,Gujarat,City_74,T30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00193,Investor 193,ABCDE0193F,Tamil Nadu,City_41,T30,Male,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00194,Investor 194,ABCDE0194F,Rajasthan,City_45,T30,Male,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00195,Investor 195,ABCDE0195F,Rajasthan,City_73,T30,Female,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00196,Investor 196,ABCDE0196F,West Bengal,City_21,T30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00197,Investor 197,ABCDE0197F,Maharashtra,City_85,T30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00198,Investor 198,ABCDE0198F,Tamil Nadu,City_24,T30,Female,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00199,Investor 199,ABCDE0199F,Delhi,City_66,B30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00200,Investor 200,ABCDE0200F,Gujarat,City_85,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00201,Investor 201,ABCDE0201F,Delhi,City_49,B30,Female,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00202,Investor 202,ABCDE0202F,UP,City_45,B30,Male,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00203,Investor 203,ABCDE0203F,Rajasthan,City_20,T30,Male,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00204,Investor 204,ABCDE0204F,Kerala,City_20,B30,Other,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00205,Investor 205,ABCDE0205F,Tamil Nadu,City_70,B30,Other,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00206,Investor 206,ABCDE0206F,Punjab,City_5,B30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00207,Investor 207,ABCDE0207F,Tamil Nadu,City_49,T30,Male,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00208,Investor 208,ABCDE0208F,Delhi,City_57,B30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00209,Investor 209,ABCDE0209F,Kerala,City_68,T30,Other,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00210,Investor 210,ABCDE0210F,Karnataka,City_75,B30,Female,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
